字	词频=出现次数*100/总字数
更	0.17989395272953654
重	0.17973782866554908
阳	0.1770446885617656
同	0.17645922332181269
雪	0.17517119979391624
身	0.1745857345539633
石	0.1740783313460041
望	0.17290740086609824
香	0.17200968749817042
看	0.1713071292102269
游	0.17013619873032104
满	0.16974588857035244
海	0.16935557841038382
愁	0.1687701131704309
十	0.1683407719944654
书	0.16584278697066623
林	0.16486701157074468
老	0.16478894953875098
情	0.16408639125080746
从	0.16369608109083883
衣	0.1635399570268514
歌	0.1617054992749989
古	0.1614713131790177
红	0.16049553777909617
头	0.15967588644316205
难	0.15690468430738486
尘	0.15628018805143506
百	0.15612406398744763
方	0.15374317201163906
楼	0.15288448965970808
复	0.15159646613181166
龙	0.1506206907318901
莫	0.14968394634796542
似	0.14925460517199993
能	0.1491765431400062
旧	0.1491765431400062
黄	0.14902041907601876
名	0.14874720196404073
犹	0.1463272789722353
分	0.14453185223637963
作	0.1433218907404769
后	0.143009642612502
平	0.1407848747006809
到	0.14012134742873425
言	0.13980909930075935
气	0.13941878914079073
五	0.139340727108797
叶	0.13930169609280013
当	0.13918460304480956
鸟	0.13766239342093195
仙	0.1369988661489853
过	0.13664758700501353
间	0.13614018379705434
发	0.13407153994922064
王	0.13364219877325517
几	0.1336031677572583
诗	0.13344704369327084
离	0.13262739235733675
松	0.1321980511813713
亦	0.1316516169574152
初	0.13051971749350622
北	0.12970006615757212
起	0.1294268490455941
台	0.12923169396560977
意	0.1284901046616694
外	0.1283730116136788
华	0.12786560840571962
非	0.12724111214976982
边	0.1264214608138357
竹	0.1264214608138357
大	0.12384541375804282
公	0.12310382445410245
故	0.12275254531013069
随	0.12263545226214011
暮	0.12181580092620602
梦	0.12169870787821542
宫	0.12072293247829388
安	0.12044971536631584
吟	0.11904459879042882
四	0.11830300948648843
醉	0.1173272340865669
少	0.11713207900658258
孤	0.11666370681462024
晚	0.11611727259066418
枝	0.11596114852667673
国	0.115883086494683
野	0.115883086494683
露	0.11572696243069555
汉	0.11545374531871752
文	0.11541471430272066
柳	0.11514149719074263
神	0.11459506296678655
阴	0.11389250467884304
世	0.1137363806148556
终	0.11237029505496543
坐	0.11018455815914116
霜	0.10885750361524786
碧	0.10858428650326982
好	0.1085062244712761
绿	0.10842816243928237
幽	0.10807688329531062
临	0.10772560415133886
关	0.10772560415133886
轻	0.1074914180553577
逢	0.10733529399137025
河	0.1071791699273828
九	0.10690595281540476
波	0.10663273570342673
留	0.10655467367143301
岁	0.10643758062344241
问	0.10600823944747693
微	0.10561792928750832
芳	0.10534471217553029
泉	0.1052276191275397
半	0.1052276191275397
连	0.10429087474361501
池	0.10319800629570287
乡	0.10241738597576565
共	0.10034874212793196
影	0.1003097111119351
须	0.09937296672801041
岂	0.09921684266402296
近	0.09870943945606377
小	0.0986704084400669
翠	0.09855331539207632
期	0.09831912929609514
曲	0.09816300523210769
馀	0.09816300523210769
庭	0.09687498170421126
乐	0.09632854748025518
经	0.09632854748025518
惊	0.09617242341626774
照	0.09605533036827715
两	0.09597726833628342
断	0.09593823732028657
吹	0.09496246192036502
溪	0.09441602769640896
双	0.09422087261642464
遥	0.09336219026449367
动	0.09250350791256272
残	0.09223029080058469
正	0.09211319775259409
二	0.09187901165661293
晓	0.09152773251264117
曾	0.09121548438466627
居	0.09066905016071021
寻	0.0904738950807259
忆	0.08996649187276669
物	0.08981036780877924
对	0.08969327476078866
垂	0.08871749936086712
静	0.08856137529687967
苦	0.08844428224888908
却	0.08840525123289222
舟	0.08840525123289222
悲	0.0877026929449487
鹤	0.08723432075298636
笑	0.08664885551303343
木	0.08618048332107109
卷	0.08610242128907737
先	0.08602435925708364
沙	0.0855559870651213
楚	0.08520470792114954
紫	0.08516567690515268
才	0.08512664588915582
峰	0.08508761487315895
夕	0.08407280845724055
鸣	0.08376056032926565
星	0.08352637423328448
和	0.08337025016929703
凤	0.08317509508931273
语	0.08294090899333155
常	0.08270672289735038
依	0.08223835070538804
又	0.08212125765739745
苍	0.08196513359341
只	0.08184804054541941
