字	对应向量	训练样本数100
务	[ 2.4215078  -0.6404289  -0.16896406  0.25497702 -1.3292224 ]
箱	[-0.54219246  1.9630336  -0.05972281  0.9057834  -0.58312035]
烟	[-0.7365288 -0.6588222 -0.3720338 -1.0751798 -1.2994105]
长	[-0.6112033  -1.7429284  -0.8914126  -0.06151729  1.0675281 ]
羌	[ 0.2621421   1.2310519   0.09772791 -0.36649856  0.24491596]
调	[-0.1802425  -0.11376527  1.463596    0.5016382   1.780888  ]
缓	[-1.1044569  -0.61300796 -0.28905818  1.8084037  -0.7249902 ]
篆	[ 1.0787128  -0.05986807 -1.4183338  -0.35260102 -0.30079272]
寿	[-0.52016693 -1.1058904   0.6688341   0.81725305  1.3831006 ]
咏	[ 0.72532654 -0.891827   -1.4301107   1.4933089   0.54250383]
醑	[-0.76768553  1.2168111  -0.56071585 -0.5161135  -1.6108496 ]
龄	[-1.1948618  -1.2704353  -1.152919   -0.15323609 -0.5070011 ]
梨	[-1.1727622  -0.86598974  1.5666741   1.3219603  -1.3498919 ]
钏	[-0.39379787  0.24606581  0.5393314  -2.478159   -0.24639428]
醉	[ 1.7836338  -1.0144769  -1.6103233   0.87737674  0.9051923 ]
还	[-0.6316558  -1.534332   -0.66707796 -0.54215586 -1.1707193 ]
休	[-1.371083   -0.13095704  0.1933988  -0.22596765 -0.1503239 ]
漏	[-0.12132201  0.07010159 -0.7842241  -0.6751421  -0.5416866 ]
独	[-0.32870603  1.0940636   0.8721122  -0.50341606 -0.8174571 ]
浪	[-0.68844706 -0.3645903  -0.11930227 -1.1928307   0.14843914]
湛	[ 1.0051758   1.1745903   1.2043645  -0.97034746 -0.35874364]
岫	[-2.1124089   0.73993623  0.5647742  -0.7000003  -0.04978239]
乍	[-0.9534824   0.15644194 -0.5767889  -0.13884526 -0.29558176]
抑	[-1.1125715 -1.245042  -1.2005094 -1.1307799  0.1620836]
晷	[ 0.7652192  -1.7026091  -1.6243286   0.49983412  1.2146493 ]
起	[-1.0403788   0.01169248  0.20415556 -0.3246428   0.16254282]
泉	[-2.081972    0.8224211   1.096521    1.474662   -0.12673274]
纪	[ 0.5771418  -0.30133834 -1.4568155   0.46473378  1.1657152 ]
扶	[-0.8276006  -0.50193775 -0.3433491  -1.2691439   0.76567507]
破	[-1.6901877   1.0122526  -0.26520512 -0.76203984  1.1517969 ]
戍	[-1.147139    0.22464074 -0.82154596 -0.62753755 -0.32771862]
筠	[-0.92776585  0.715737   -1.0350225   2.3240178  -0.9755559 ]
兽	[ 0.84631526 -0.08819288  0.29537135  2.2552392  -0.86931026]
薨	[-0.678811   0.9025285 -1.5248977 -2.209187  -2.7713068]
物	[-0.5951128  -2.1243773   0.640461    0.14356151 -0.12191055]
尘	[ 0.06885196  1.5601397  -1.0964584   0.07281858 -0.9243165 ]
蕃	[-1.3768432   0.9462706  -1.0199468  -0.00785593 -1.0274756 ]
拥	[ 1.755175    0.25095773 -0.09971423  0.8944899   1.3499299 ]
列	[ 0.5265861   0.13724871  0.57157415  0.75403875 -1.2126883 ]
知	[ 0.24025255 -2.3752532  -1.0713356  -0.31067523  1.8752681 ]
产	[ 0.996427    1.182437    0.83081114  1.0573169  -0.09384742]
迥	[ 0.22978887 -0.27258193 -0.34132117  1.1508977   0.42185476]
献	[ 0.7055415  -0.12287128  0.03017001  0.424177    0.7729125 ]
祥	[ 0.45035535  0.10311301 -0.13129422  0.05869608  0.9512248 ]
筑	[-1.7787831  -0.92905396 -0.6179715  -0.5652802   0.19831371]
潮	[-0.74931383  0.70612115  1.1793678   0.48480105  0.0502231 ]
宿	[ 0.6612935  -0.6526706   0.85468197 -0.621999   -1.2325282 ]
合	[-0.9682337   0.00872709  0.727002   -0.72251475 -0.5257423 ]
轸	[-0.98737884  1.2905058   0.95230776 -1.219169   -1.4446384 ]
碎	[ 0.07551268 -1.3331566  -0.19462284  0.7484712   0.25116548]
木	[-0.46766937 -1.8800526   0.5087768   1.5385654  -1.2667664 ]
频	[-0.72264105  1.6590592  -1.7949638  -1.2185742  -0.86787146]
搜	[ 0.23703796 -0.89411694  1.4432477  -0.04683536 -0.14141506]
幡	[-0.14006372 -0.42429894  0.08638221 -0.14534283  0.79473585]
鹢	[ 0.9780622 -0.9959305 -0.6930409  1.9413791 -1.7274346]
俱	[-0.20039569 -0.2219226  -1.1325377  -0.05326699 -1.7662796 ]
目	[-1.3277745  -0.5219284  -0.05330235  3.0910285   0.959204  ]
情	[ 0.054502   -0.02015194 -0.15386344 -0.38160104 -0.32560658]
雪	[-0.50334394  0.39575088  0.6031137   0.33866823 -0.3955259 ]
智	[ 0.81057024 -1.0622175   0.13508433 -0.73015434 -1.7178192 ]
於	[-0.522232   -1.4355114   0.84071404  0.68677646  0.77778363]
全	[ 0.9078127  -1.0548335  -1.8573067  -1.9428247  -0.90478706]
庶	[ 1.4864894  0.7620373 -0.7966595  0.1865629  1.0738903]
观	[-1.3421446  -0.85286427  0.24787903 -1.6712139   1.4050426 ]
禾	[ 1.3886791   0.42279494 -0.6718877  -0.59676766  1.4133292 ]
贤	[ 0.5442728  -0.7788951  -0.07812674 -1.0145494  -0.00424246]
己	[-1.5208635  -0.9595571  -1.7444855  -0.8613536  -0.15048152]
是	[ 0.9157296 -1.3146536  0.8667643  0.5218491  1.3419766]
凯	[-1.1061583   0.35267502  1.2404922  -1.8641258  -0.47420767]
奚	[ 0.47700447  0.49358213 -0.29072514  0.67786026  1.5076913 ]
规	[ 0.45130336 -1.2114006   0.04820122 -0.99413395  0.57463133]
羞	[-0.32297945 -1.0142525  -0.784621    0.8517506   1.2276771 ]
派	[-0.11221522 -1.3109119  -0.49565974  1.1378088  -0.02680528]
晖	[-0.00741984  0.4075908   0.6156409   0.02299314 -1.1419325 ]
榜	[-0.23677205 -1.3615499  -1.5000279  -1.7378411   0.69137865]
定	[ 1.4872509  -0.15029402  0.6230588  -3.3053002   0.8158774 ]
避	[-0.4549995  0.0345258 -0.0289587 -1.4836346 -1.1565948]
曜	[ 2.74698     0.19605492  0.5284445  -1.3147703   0.98478717]
杼	[ 0.61304545  0.57709354 -1.1634005   1.8227334   0.224857  ]
彩	[ 0.08649994  1.0889952   0.13176289 -0.9814295  -0.49318972]
晦	[-0.05971691 -0.21843861 -0.1395853  -0.6505702   1.0258567 ]
晴	[-0.38489097 -2.7785392   1.0505431  -0.12620336 -1.0917516 ]
殿	[-1.7560505  -0.5975278  -0.18828219  0.07023282 -0.76167345]
手	[ 0.8089634  0.9912633  0.8700244  1.2229499 -1.2972993]
昔	[-0.58788455  0.3601849  -0.21863435 -1.1914191   0.4493358 ]
璧	[ 0.37455308 -0.34179628 -1.2930413   0.3020665   0.6683338 ]
妍	[ 0.73081404  0.22545461  0.8063435  -0.17154811  0.8552546 ]
六	[ 0.9563924  -0.872908    0.4624181  -0.0268328  -0.48506048]
后	[ 1.8696359  -0.46220016 -0.7961585   2.1325414   0.9517179 ]
养	[1.4103851  1.1791925  0.41952857 0.32317293 0.92882687]
舆	[ 0.39217103 -0.064302    1.5437597  -0.55757284  0.15781565]
饯	[-0.29040802 -1.6432108   1.0830622   1.283787    1.2661294 ]
谟	[ 1.5762587   0.00640117  0.24640942 -1.5162581   0.6191391 ]
黄	[ 0.18855223  0.36404485  0.4308356  -1.2833142  -0.3831369 ]
辔	[-0.8918247  -2.0884135   0.77013606 -1.2612933  -2.057714  ]
踪	[ 1.4257232  -0.23654848 -0.6235712  -0.15258694 -2.2078042 ]
阶	[ 0.97168934  0.07085504 -1.2622813  -1.7966298   0.4244401 ]
岁	[-0.41301304 -0.1343435  -0.43250823  0.53754836  1.2101225 ]
由	[ 0.02228232 -1.0496542  -0.941672    0.48495787 -1.4398423 ]
淹	[ 0.6173335  -1.386724   -0.03505998 -0.5350474   0.7254878 ]
晓	[ 0.89954406  0.03771757  1.0969977  -0.2557115  -0.27168843]
央	[-0.23232557 -0.89192927 -0.39837843  0.7378893   0.17634165]
叙	[ 0.5906277 -1.0551472  2.040759  -2.3236163 -0.8180344]
邃	[-0.58538246  0.10924558  1.2173512   0.14274457 -0.44564232]
灞	[ 0.632942   -0.17569292 -0.3721718   2.7416368   0.35009632]
新	[ 1.4765922  -0.01168704  1.2012987   0.20001799  0.35035232]
纳	[ 1.6426996  -0.811934   -0.24166688 -0.97582364 -0.50578296]
开	[ 0.2637548  -1.8542131  -0.17013283  0.17646468 -0.21307176]
忌	[ 0.4887749  -0.28173083  1.8068676   0.21130982 -1.6456201 ]
盖	[ 0.37357807  0.16311444 -1.2982628   0.5139497  -2.0059752 ]
矜	[-0.45993042 -0.6884131   0.2564123   0.54789275  1.1200812 ]
