字	对应向量	训练样本数1000
俨	[ 0.09565056 -2.3084934  -0.03943306 -0.3739822  -0.75579643]
匮	[-2.0837438  -0.29001775  0.44699794 -0.61025804  0.32926404]
仗	[-0.8515598   1.2757413  -1.6550833  -0.7033631   0.51229167]
嶙	[-0.8134742 -0.4557167 -0.045636  -1.2323223  0.7202617]
枪	[-0.7018068   0.7542387  -0.39913392 -0.89225656  1.0369678 ]
宦	[-0.95471346 -0.30766037 -0.46987507  1.116173   -3.177939  ]
絷	[-0.82549286 -1.3058584  -1.5033462   1.4497482  -0.18040267]
猜	[-0.7929892  1.4208522  1.4940693 -0.8666782  0.5401328]
柱	[ 1.1841112   1.2104913  -0.12140407  0.7080746  -1.2093735 ]
曨	[ 0.28429762  2.0896022   0.20089376  0.02700184 -1.5076987 ]
网	[-1.5098163  -1.076717   -0.28108242 -1.1098151   0.1736878 ]
涛	[-0.59040785  1.239118    0.24987607  0.61445135  0.09036198]
摇	[-0.15597269  0.3679785  -0.76957285 -0.55157125 -0.15335077]
范	[-0.3129632  -0.19370088  0.4075338  -2.117853   -2.0922384 ]
图	[ 0.14399862  0.68451834 -0.67357326 -0.59448445  1.1210184 ]
凝	[ 0.3441317  -0.5436021   2.054514    0.7835177   0.75820786]
墙	[-1.7706915 -1.1124103  0.264647  -0.7027099 -1.0814397]
祥	[ 0.12960282  0.47195995  0.87020147  0.9328791  -0.8923646 ]
末	[ 0.12067965  0.785161    1.1623068  -1.4455087  -0.5251742 ]
昌	[ 1.1215593  -0.61226803 -0.1651347   1.2841421   0.01778689]
槛	[ 1.6404278  -0.15105587 -0.562631    0.6871569  -0.4302966 ]
认	[ 0.289463    1.6768649   0.9199164  -0.29006332  0.2715298 ]
贤	[ 0.90679234 -0.3628619  -1.1531361  -0.5667643  -0.8522728 ]
婉	[-1.3479593  -0.05225572  0.6093445   0.22989503 -0.59384245]
览	[ 0.34525716 -0.44801447  0.73841035  1.9563762  -0.01321034]
颗	[-0.1890553   0.5452837   0.70424676 -1.5792434  -1.2428254 ]
赠	[-0.0817644   0.9436269  -2.0865738  -0.5635778  -0.11409251]
祁	[-0.21329981  0.0189809  -0.30839163 -0.7460615   0.77929485]
角	[ 1.389287    0.67152095 -0.2548167  -2.6126165  -0.21980897]
馈	[-0.6589149   0.08791566 -0.8484051  -0.5793511  -0.4283327 ]
寥	[ 0.47814304 -0.7442006  -0.284826   -0.10486632  2.6525464 ]
旸	[-1.7356645   1.4447887  -0.42187825 -0.2040079   2.1521394 ]
莱	[-0.46339446  0.49907595 -2.906744    0.25787172  1.5266362 ]
详	[ 0.63357383 -1.3217888   0.9659059   0.50241625  0.10901705]
巾	[-2.945416    1.3777665   0.05865524 -0.9031565  -0.81409705]
梧	[ 1.1550812  -1.3163062  -2.786039   -0.15858358  0.68696696]
伎	[-0.3442751   0.27503031  1.2536851  -0.24911878  0.67006975]
倩	[ 1.158708   -1.4736844   0.53492206  0.7798306   1.8179543 ]
镛	[ 0.35295272 -0.33141312  0.72523665 -0.04801255 -0.9741509 ]
圃	[-0.05578741  0.01062891 -1.0525362   2.2628388  -1.0127529 ]
昔	[ 0.46014315  0.52066785  1.5987641  -2.2079322   0.8462354 ]
洁	[ 0.17906713 -0.692285    1.4420912   0.09715293  1.212534  ]
筑	[-1.2304901  -0.0308541  -1.2756754   0.00261628  0.7929936 ]
友	[ 2.055653   -0.49772418 -1.4976597  -0.38110736 -0.09471081]
羔	[-0.07945924 -0.27686784 -0.8710743   0.464561   -0.34392285]
雌	[ 0.7602495  -0.47551513  1.2799441  -0.04383586 -2.0448883 ]
拜	[ 0.08293188  0.46702585 -0.05090426 -1.0978327   0.15324746]
掷	[-1.0311363  -0.9193904   1.4644017  -1.2500994   0.37506035]
充	[-0.04640244  1.101382   -0.5093534   0.2585329  -1.3454493 ]
亥	[-0.8770797  -0.45457688 -2.1215923  -0.71595263 -1.0424491 ]
亡	[-0.500893   -0.92064434  0.70394313 -0.23968941 -0.49835998]
鳞	[-0.46945083 -0.34972283  0.40679657  1.6211184  -0.91420376]
愁	[ 0.75512564 -0.43994358  1.5091178   0.932716   -1.0855917 ]
阿	[-0.6716681   0.21172017  1.3299078  -0.7897867  -1.5153656 ]
颈	[ 1.0396506  -0.00347977  0.22469725 -0.6369249   0.990435  ]
叶	[-1.3162947  -0.09911271  0.41744116  0.15878016 -0.07954637]
岸	[ 0.21040902  0.9139606   0.99689376 -0.2283983   0.96273655]
怖	[ 0.66859335  0.682729   -0.309096    0.40434855 -0.33032113]
申	[-2.0213404  -1.1273022   0.39486358 -0.6850102  -0.06257699]
已	[ 0.6246808  -0.64705443 -1.1710211  -1.9832056   0.64529103]
语	[ 0.5527103   1.4894884   1.7519968   0.09642301 -0.85379237]
讲	[ 0.43640232 -1.6289408  -0.29736924  0.21677873 -0.9938655 ]
下	[-0.4476303  -1.03897     0.00371916  0.4583875  -0.57044303]
浸	[ 1.0809478   1.1771474   0.04426034 -0.5396812  -1.9641638 ]
盘	[ 0.7204817   0.3404943  -0.07061176 -0.4467135  -0.23080026]
绝	[-1.851685    0.4562695   0.02249997 -0.38837335  0.64058274]
旄	[ 1.5115879  -1.166895    0.8590095   1.2860608   0.02704168]
饥	[ 0.63434464  1.8200711  -1.2554849  -1.470963    0.66041106]
檗	[ 0.47646737 -1.3160322  -1.3605163  -0.45508033 -0.02464832]
谒	[-0.8648031   1.2476609  -0.03581004 -0.06317164 -0.13149649]
预	[ 0.26441437 -1.4399861   0.6160058   0.9414208   0.20458852]
萱	[-0.33141938  1.5101994   1.5972033   1.7922864   0.05633048]
院	[ 0.9447572  -0.48521826  0.3896498   0.68182385 -0.1501105 ]
扣	[ 0.09532318 -1.6878655   0.9621352  -1.3355163  -0.35892898]
拯	[-1.1732172   0.27153572 -1.3026212   0.68886554 -0.71508336]
斫	[ 1.7276723  -0.6878928  -0.15933958  1.0516139   0.979158  ]
俭	[ 0.7983577 -1.6359202  1.8886851 -1.3826368  1.2058729]
娟	[-0.13265166 -0.6637805  -0.26548794 -0.6522555  -0.95228446]
谅	[-2.8896418 -0.9462486 -0.7144147 -1.5305263  1.5684452]
鱼	[ 1.8028175 -0.7954352  0.7969084  0.4370752  1.0266973]
漳	[ 1.0957592  -0.5532685   0.39766625 -0.20495218  1.2522433 ]
懒	[-1.3023074   0.42260703  0.39815623 -0.48189637 -0.3723838 ]
潞	[-0.56843776 -1.2871667   0.7138128  -0.9189512  -0.48979822]
浓	[-1.3077902  -0.8223059  -0.96700454  0.57690924 -1.6152079 ]
拾	[0.27532542 1.7272675  2.9601576  0.6320296  1.5984216 ]
校	[-0.63490057 -0.17296007 -0.42612723  1.4538307   0.7830678 ]
尽	[ 1.5972058   0.63888323 -0.19047302  1.0243131   0.7253701 ]
夕	[-0.23479351  0.43468383 -1.7502306  -0.3196163   0.5246239 ]
适	[ 1.003099   -0.50218683  1.4059155   1.0653498   1.9432942 ]
酝	[ 1.4361249  -1.6319113   1.0725497   2.0206404  -0.20677517]
君	[-0.3607482   1.3906859   1.1953111   0.6585991  -0.34738037]
沓	[ 0.49778855  0.05739612 -1.9060479   0.8642703  -0.7592064 ]
座	[ 2.1686609  -0.2112344  -0.44913378 -1.1931808  -2.2188053 ]
潋	[-1.7054511  -1.283405   -0.73034203 -0.37008306 -0.5310751 ]
仑	[ 1.5324523  0.2798331  0.8651258  0.4247486 -1.4005821]
襦	[-0.9871937  -0.8809915   0.6229396   0.36758646 -1.3119614 ]
涧	[ 2.733301   -0.43078166  1.248612   -0.09626693 -0.71508366]
间	[ 1.2564106  -0.5059708   1.0047834  -1.4681877   0.07698867]
牴	[ 2.150018    0.2513478   1.1637615  -0.18584993 -0.6434826 ]
徽	[0.6453679  1.0056924  1.4023502  0.6138072  0.41075563]
慷	[-0.348966   -1.2225413  -0.01103094 -1.693886   -1.1575025 ]
交	[ 1.3935657   0.6115209  -0.10732432  0.74193525  0.0259853 ]
汹	[-1.5855557   1.6577668  -0.44836554 -0.77394795  0.7486195 ]
臾	[ 0.95111376 -1.393142    0.28531283  0.626488   -0.19006985]
素	[-0.20827162 -0.5999727  -0.9540572   0.0233859  -0.3845797 ]
队	[-0.8388194   0.88632774 -0.13013254 -0.24509001  0.06343298]
櫜	[-1.0987353  -0.14742975  0.71256065  0.09629739 -0.64693165]
繁	[-0.00687085  1.3625638  -0.5325316  -0.7473547  -1.0451288 ]
期	[ 0.6531996  -0.26963845  0.01506563  0.7560432   0.6709357 ]
辽	[0.8028723  1.724024   0.1345594  0.41187304 0.5854886 ]
挑	[-0.7105502   0.9498039   0.3195619  -0.03511124 -1.9970641 ]
募	[ 0.78286177 -0.07369751 -1.5952384  -0.313809    1.2063849 ]
蛛	[-0.6714838   0.8046506   1.1207607   0.50874084 -0.6810788 ]
绷	[ 1.3846925 -0.9219776  1.1152475  0.5963005 -1.1999319]
洞	[ 1.638223   -0.45102605 -0.9174067   1.0412265   0.00958617]
锦	[-0.9731586   0.28495345 -0.7070073  -1.1578206   0.00449249]
洊	[-0.51443154 -0.5514956   1.423237   -0.2992916   1.3367014 ]
楼	[0.12181992 0.93020433 0.2743048  1.0993246  0.0299609 ]
宰	[ 0.34678525 -1.562325    0.28482965  1.3395787  -0.2723783 ]
层	[-1.7242366  -0.503087    0.28435725  0.9243932  -0.20185381]
差	[ 1.1529355 -1.3204479  0.6273284 -3.0406199 -1.172675 ]
植	[-1.1162949  -0.01688993  0.43483555 -0.57791346  1.1051092 ]
乖	[-1.2368666 -0.2841915 -0.504094   1.4119864  1.5524712]
讯	[-0.61680967  0.73131233  1.7543678  -0.9502371  -0.55917937]
厥	[ 0.7094228  -0.3269927  -0.15274438 -0.8212214   0.711489  ]
外	[-1.3101393  -0.5670339   0.02612069  0.6773037   1.3048613 ]
端	[ 1.665836    1.0485116  -0.5313401  -1.3967046  -0.35292462]
鼓	[-0.2094574   0.43412942 -1.5156298  -0.51277727  1.3916775 ]
昆	[-1.0273196   0.8614611  -0.6578685   1.2721976  -0.04125773]
扃	[ 0.52373433 -0.30415002 -0.17995521 -0.74038917  0.84025633]
杳	[ 0.4964574  0.8313769  1.9493712 -0.6001416 -0.6848883]
樵	[-0.07435241 -0.2631339   0.1820179  -0.5223676  -0.25074613]
瞳	[-1.6237044   1.2418085  -1.0511738   0.26998302  0.76415753]
屣	[-1.9460793  -0.13084918 -0.5911646   0.02221221 -1.075507  ]
阎	[0.7176649  1.4117024  1.6004809  0.9634365  0.47466168]
根	[ 2.0439858  -0.04886787 -1.06607    -0.3464623   0.76780033]
竭	[-0.70697075  0.407759   -0.9031937  -0.38094607  0.3341808 ]
珮	[-0.7437942  -1.406159   -0.43236932  1.5944514   2.9938822 ]
政	[ 0.3078807   0.6286285   0.29805645  0.31682372 -1.2504262 ]
觑	[ 1.1718569   0.88404    -1.2396278   0.08945585  0.55349284]
环	[-1.2106562   0.22328831  0.62319446  0.98166287 -0.5026652 ]
鄹	[-1.8849143 -1.0285373  1.2762309 -1.6025943 -1.7014436]
硕	[-0.54518473 -0.22186793 -0.3298713  -0.03025931 -0.94394857]
管	[ 0.3809701   0.64420754  1.490919    1.2851391  -0.76129115]
维	[ 0.29336283  0.9120248   0.18218687  0.64295405 -0.08682613]
宵	[-0.9721663   1.1761363   0.32931542 -1.5309653   0.77094907]
巩	[-0.66632676  2.4735837   0.8977212   1.0161206  -0.5241462 ]
蜡	[ 1.3405175   0.3618333   0.29330826 -0.46430075  1.6416218 ]
寒	[-0.2398861  -1.0321608   0.96977353  0.3620985   0.8944012 ]
寸	[ 0.8886003   0.02428169 -0.11583552  0.4392944   0.31607592]
姓	[-0.7604638  -0.8366067  -0.4256325  -0.08806609  0.98945516]
怜	[ 1.209016   -1.2679898  -1.127876    0.10874509 -1.5743704 ]
肸	[-1.6005336  -0.5830314  -0.9210321   0.02264444 -0.66338724]
编	[-0.02955834  0.23501502 -1.3563219  -0.2161952   0.46674207]
驷	[1.8497299  0.02786747 0.9214872  0.6855131  0.5213114 ]
隋	[ 0.94197154  1.7247427   1.1791261   0.13165721 -1.2843188 ]
恶	[ 0.82244575 -0.8847798   0.48461854 -0.12704408  1.1550012 ]
激	[ 0.77112436 -0.18884164 -1.5904249   0.897315   -1.4108094 ]
勍	[ 0.7296315  -1.2721068   1.4762499  -0.96275353  0.03517479]
服	[ 0.928224   -1.2582285  -1.2959241  -0.46343902  0.2809123 ]
傍	[-1.5400512  -1.3207126   0.57030547 -0.9213963   0.06342223]
铎	[-1.8067436  -1.6298981  -0.08009218 -0.27451926  0.39787558]
民	[ 2.392678   -3.399752   -1.0395393  -0.81915617  0.37396413]
禽	[-0.05080709 -0.50205165  0.5569333   0.64165837 -0.49408552]
巴	[-1.2163199  -1.7727696   0.13081633 -0.8500703   0.19947515]
韵	[-1.5548255  -0.18595281 -1.0892981   0.20435926 -0.1895077 ]
屑	[-0.70363086 -0.57724327  0.76213825 -0.13059647  1.3810883 ]
泾	[-1.1660979  -0.35969344  0.5402024   0.12467917 -0.41562587]
冤	[ 2.162914    0.6005589  -0.8061669  -0.13846949  1.4272838 ]
罪	[-1.5373195  -0.19439258  0.26657802 -1.6272179   1.2511089 ]
羸	[ 0.9804922   0.22453266 -1.4017915   0.05924495  0.85162807]
瑞	[ 0.6395056  -0.61325306 -0.3353426  -0.09363614 -1.8365812 ]
轩	[ 1.0218153  1.6374693  1.6289321 -1.5450134  1.2792239]
婷	[-1.3818618  -0.4465003  -1.0679433   1.6657383   0.20824267]
蔡	[-1.7132013  -0.7809647  -0.7093123   1.1456981   0.01117807]
缕	[0.48138326 0.8247583  0.8145267  0.26713085 1.0742208 ]
独	[-0.88862425  0.70968777 -0.60845816  0.12784827 -0.48931012]
纹	[-0.3459063  -1.330501    0.77711916 -0.47625774 -0.08798109]
曳	[ 1.1635358   1.4599102  -0.88725173  0.41923225 -0.05409995]
嚣	[ 1.106039   -0.53331804 -0.47791705  0.43102193 -0.39624807]
瘦	[ 1.2330081  -0.28142083  0.64780116 -0.6371518  -0.24708466]
轧	[-0.6598263   0.67277217  0.76564014 -0.26654175 -0.43064392]
马	[-0.36515918  1.5180403   0.480279    0.9404355  -0.6772059 ]
又	[-0.71046746  1.146563   -1.8630321  -1.8037395  -0.44032362]
瑰	[ 1.2862259  -0.38503668  1.1596974   1.2746753   1.3976413 ]
罕	[-0.09888998 -0.3588985   0.813238   -1.3198481   0.26393908]
俗	[-0.28689232  1.439791    0.36038402 -0.47401732  1.6946399 ]
溪	[-0.6974411  -1.2074676  -1.2794292   0.97438025  0.7124907 ]
舆	[ 0.2916526   0.87039185 -1.0446334   1.2468907   1.6368502 ]
反	[ 2.1566951  -0.39948753  1.9169208  -1.6646287  -0.8038882 ]
祇	[-0.0878764  -0.25515905  0.38559872  0.9358897   0.30719024]
遂	[-0.00669458  0.9558947   0.4603762   1.3782775   0.9057126 ]
容	[-0.48605022 -1.4234862  -0.67298317 -0.546408    0.00761853]
试	[ 0.0560758  -0.73245895  0.7290968  -1.260458    0.06596831]
靡	[-0.7483291   0.33887345  0.7634313  -0.5439864  -1.1364073 ]
披	[ 0.84628564  0.3889815   1.3148531   0.48178953 -0.6898432 ]
屋	[-0.3189243   0.01611782 -1.4596069  -0.1615356   1.6499449 ]
翳	[-0.29389   -1.2858547 -0.3060007 -1.7892094 -1.5641457]
血	[ 0.03952403 -0.13127023  0.22961035 -1.0435908  -1.9397085 ]
姝	[ 0.88896215 -0.3295225   0.60952795  1.3845111  -0.40326205]
瑁	[-1.2176764  1.5920073  0.3997704 -0.911724  -1.2726263]
视	[ 1.6210735   1.2800112   0.418913   -0.45052058  0.8699375 ]
奸	[-0.8406988 -0.2361632  1.4030554 -2.3129642 -1.3078624]
契	[-2.039586   -0.89574575 -1.1168804   1.0373398   0.7356787 ]
峻	[-1.0467188  -1.3545027   0.12413006  0.5114141  -0.83603966]
黛	[ 0.8139088  -0.8871091   1.2555683  -0.7044667  -0.15425771]
萸	[-0.07060353  1.5156568   0.57798517  0.06215385  1.6653368 ]
邕	[-0.34022084  0.34920207 -1.2909443  -0.7475484   0.1905449 ]
嫌	[ 0.565372  -0.2564137  0.9235616  1.3219888 -1.0685302]
藜	[ 0.20167246 -0.6565985   0.39057627 -2.4906073   0.674895  ]
嫖	[ 1.8454198  -1.1512741  -1.0018396   0.19829786  0.91722393]
绥	[ 0.7985166  -0.43080884 -0.15292212  0.17024031  0.44334647]
啖	[-1.0982788   2.2196808   0.18844289 -1.5973033   0.52457136]
逸	[ 2.0549803   0.27774617 -1.2971846   0.8581283   0.3185378 ]
帷	[ 0.19219798 -0.12066055  1.6640915  -0.03319354 -1.9884348 ]
盎	[ 0.47553706 -0.54248285  1.8062148   1.4187936  -0.7814849 ]
槔	[ 0.9568377 -2.2271376  0.8236637  0.8640079  0.5920633]
欺	[ 0.5599335   0.06287707  0.66663146 -1.329376   -0.42910874]
庖	[-1.3588929   0.42909652 -0.42579868  0.93582904  1.8613662 ]
堪	[ 0.63185227  1.2693435  -1.9807194   1.470957   -0.34165084]
觅	[ 0.44785675 -0.05308753 -0.51821864 -0.9275595  -0.9622691 ]
摅	[-0.23052311 -2.1778188   0.01978166 -1.0828841   1.7358881 ]
途	[-0.29981887 -0.42568997  1.6591895   0.58441633  0.6201265 ]
虔	[ 1.6383079 -0.6405202  1.2000079  1.3215843  0.2630967]
濡	[-0.8852617   2.7544003   0.89985013  2.4825346   0.10533011]
勃	[ 0.09254336 -0.43793318  0.99972486  1.3294142   0.5688961 ]
仲	[ 1.2689778   0.09002889 -0.64570594 -1.3326209  -0.9297067 ]
玷	[-0.9625914  -0.1711098   0.6359974  -2.0419502  -0.09366669]
